customerID,proba_churn,label_pred
7024-OHCCK,0.7987212932025609,1
5150-ITWWB,0.7984045371383639,1
5192-EBGOV,0.7956719974037688,1
2545-EBUPK,0.7903332496959652,1
6567-HOOPW,0.789391782707376,1
3551-HUAZH,0.7846494146830258,1
4826-XTSOH,0.7835261129420933,1
9603-OAIHC,0.7802744369161182,1
5804-LEPIM,0.7752233633424248,1
5276-KQWHG,0.7741663834754424,1
4102-OQUPX,0.7715836521249908,1
2123-AGEEN,0.7681178699228622,1
4086-YQSNZ,0.7671609053674702,1
9799-CAYJJ,0.7612718581585314,1
7274-RTAPZ,0.7592356779202586,1
1455-ESIQH,0.7576632905070042,1
0196-VULGZ,0.7563163923593796,1
9957-YODKZ,0.7525840419364881,1
2004-OCQXK,0.7497902745720648,1
2688-BHGOG,0.7497309377807987,1
7130-VTEWQ,0.7495088127423939,1
1143-NMNQJ,0.748845070184375,1
6457-USBER,0.7485054606251046,1
5494-HECPR,0.747889173125838,1
9300-RENDD,0.7475525225818268,1
9878-TNQGW,0.7437792866067553,1
4273-MBHYA,0.7436863757879617,1
2799-ARNLO,0.7431038590958464,1
4234-XTNEA,0.7428426598216556,1
8816-VXNZD,0.7420617258653215,1
6860-YRJZP,0.741945554371317,1
4529-CKBCL,0.741796342736633,1
4927-WWOOZ,0.7415334977561221,1
7074-IEVOJ,0.7407600813960185,1
7779-LGOVN,0.7402805832640682,1
9402-ORRAH,0.7396906443229223,1
1031-IIDEO,0.7371756937259961,1
1618-CFHME,0.7369318293328474,1
1678-FYZOW,0.7363207771214952,1
0328-GRPMV,0.7363062573457532,1
5875-YPQFJ,0.7360740439662388,1
5542-TBBWB,0.7360740439662388,1
7660-HDPJV,0.7352600922629285,1
2018-QKYGT,0.7341195042101955,1
1658-BYGOY,0.7328550456549373,1
8752-STIVR,0.7292986257811471,1
1579-KLYDT,0.7287707013976121,1
0094-OIFMO,0.7268901894513173,1
0004-TLHLJ,0.7233215492003879,1
8380-PEFPE,0.7229674893828902,1
9897-KXHCM,0.7224581705884006,1
4550-EVXNY,0.7205517961140867,1
1447-GIQMR,0.7199455412967003,1
6416-TVAIH,0.7191560196095284,1
9391-EOYLI,0.7189031885386188,1
4795-KTRTH,0.7167613730158129,1
9944-HKVVB,0.7158523257163601,1
2959-MJHIC,0.7156610332234056,1
7234-FECYN,0.7146507632119998,1
